title,author,pub_date,genres
The Bonesetter's Daughter,Amy Tan,2001-02-19,
Nightfall,Robert Silverberg,1990,"Science Fiction, Speculative fiction, Fiction"
Less Than Zero,Bret Easton Ellis,1985,Fiction
Oku no Hosomichi,Basho,,
"That Was Then, This Is Now",S. E. Hinton,1960,"Children's literature, Young adult literature, Speculative fiction, Fiction"
From a Buick 8,Stephen King,2002-09-24,"Fantasy, Science Fiction, Speculative fiction, Horror"
Three Men in a Boat,Jerome K. Jerome,1889,"Children's literature, Fiction"
Galápagos,Kurt Vonnegut,1985,"Speculative fiction, Novel"
The Te of Piglet,Benjamin Hoff,1992,
The Jesus Incident,Frank Herbert,1979,"Science Fiction, Speculative fiction"
Soldier X,Don L. Wulffson,2003-07,War novel
The Protestant Ethic and the Spirit of Capitalism,Max Weber,1905,Sociology
Iacocca: An Autobiography,William Novak,1985-01,"Autobiography, Non-fiction"
Red Alert,Peter George,1958,"Science Fiction, Fiction"
Wizard's First Rule,Terry Goodkind,1994-08-15,"Speculative fiction, Fantasy, High fantasy"
Billy Bathgate,E. L. Doctorow,1989,"Fiction, Novel"
The Joy Luck Club,Amy Tan,1989,"Children's literature, Fiction, Novel"
Fried Green Tomatoes,Fannie Flagg,1987-08-12,Romance novel
Cradle,Arthur C. Clarke,1988,"Science Fiction, Speculative fiction"
Kings of the High Frontier,Victor Koman,,"Hard science fiction, Science Fiction, Speculative fiction"
Redemption Ark,Alastair Reynolds,2002-12-31,"Science Fiction, Novel, Hard science fiction, Speculative fiction"
The Scary Sleepover,Ulrich Karger,2002,Children's literature
White Fang,Jack London,1906-05,"Children's literature, Fiction, Adventure novel"
The Conformist,Alberto Moravia,1951,"Reference, Fiction"
Buying a fishing rod for my grandfather,Gao Xingjian,,
Where Late the Sweet Birds Sang,Kate Wilhelm,1976,"Science Fiction, Speculative fiction, Fiction, Novel"
Eugénie Grandet,Honoré de Balzac,1833,
Anglo-Saxon Attitudes,Angus Wilson,1956,"Fiction, Novel"
Eldest,Christopher Paolini,2005-08-23,"Science Fiction, Children's literature, Speculative fiction, Fantasy"
Forever Free,Joe Haldeman,1999,"Science Fiction, Novel"
The Cuckoo's Egg,Clifford Stoll,1990,
Going Postal,Terry Pratchett,2004,"Speculative fiction, Fantasy, Fiction"
Another Roadside Attraction,Tom Robbins,,"Speculative fiction, Fiction, Novel"
Of the City of the Saved...,Philip Purser-Hallard,2004,"Science Fiction, Speculative fiction"
A Game of Thrones,George R. R. Martin,1996-08-06,"Speculative fiction, Fantasy, Fiction"
A Clash of Kings,George R. R. Martin,1998,"Science Fiction, Speculative fiction, Fantasy, Fiction"
A Storm of Swords,George R. R. Martin,2000,"Speculative fiction, Fantasy, Fiction"
A Deepness in the Sky,Vernor Vinge,1999-03,"Hard science fiction, Science Fiction, Speculative fiction, Fiction"
The Notebook,Nicholas Sparks,1996-10-01,Romance novel
A History of the World in 10½ Chapters,Julian Barnes,,"Speculative fiction, Fiction"
Enemy Lines: Rebel Stand,Aaron Allston,,"Science Fiction, Speculative fiction"
Traitor,Matthew Stover,,"Science Fiction, Speculative fiction, Fiction"
Force Heretic: Remnant,Shane Dix,,Science Fiction
Force Heretic: Refugee,Sean Williams,,Science Fiction
Force Heretic: Reunion,Sean Williams,,Science Fiction
The Final Prophecy,Gregory Keyes,,"Science Fiction, Speculative fiction"
Millennium,John Varley,1983,"Science Fiction, Speculative fiction, Novel"
Making History,Stephen Fry,,"Alternate history, Time travel, Speculative fiction, Science Fiction"
Bowling Alone: The Collapse and Revival of American Community,Robert Putnam,2000,"Social sciences, Non-fiction"
Women in Love,D. H. Lawrence,,"Fiction, Romance novel"
The Ragwitch,Garth Nix,1990,"Children's literature, Horror, Speculative fiction, Young adult literature"
Sundiver,David Brin,1980,"Science Fiction, Speculative fiction, Children's literature, Fiction"
Journey to the Center of the Earth,Jules Verne,1864,"Science Fiction, Children's literature, Fiction, Adventure novel"
The Betrothed,Alessandro Manzoni,1827,Historical novel
The Redemption of Althalus,David Eddings,2000-07-03,"Speculative fiction, Fantasy"
Brazzaville Beach,William Boyd,,
The Indian in the Cupboard,Lynne Reid Banks,1980,"Children's literature, Fantasy, Speculative fiction, Fiction"
The Wealth of Nations,Adam Smith,1776,Non-fiction
Naked Came the Stranger,Penelope Ashe,,
Area 7,Matthew Reilly,2001-10-31,"Techno-thriller, Fiction"
Callahan's Crosstime Saloon,Spider Robinson,,Speculative fiction
The Witches of Eastwick,John Updike,1984-04-12,Speculative fiction
Syrup,Max Barry,1999-07,Satire
The Midwich Cuckoos,John Wyndham,,"Science Fiction, Speculative fiction, Children's literature, Fiction"
"Akhenaten, Dweller in Truth",Naguib Mahfouz,,"History, Novel"
Faerie Tale,Raymond E. Feist,1988-02-01,"Speculative fiction, Fantasy"
Lirael,Garth Nix,2001,"Science Fiction, Children's literature, Fantasy, Speculative fiction"
Abhorsen,Garth Nix,2003,"Children's literature, Fantasy, Speculative fiction, Fiction"
The Girl Who Owned a City,O. T Nelson,1975-03-28,"Science Fiction, Apocalyptic and post-apocalyptic fiction, Children's literature"
"Right Ho, Jeeves",P. G. Wodehouse,1934-10-05,Novel
Green Darkness,Anya Seton,1972-11-01,"Speculative fiction, Historical fiction, Romance novel, Fantasy"
Stig of the Dump,Clive King,1963-06-01,"Speculative fiction, Children's literature, Fiction"
Demian,Hermann Hesse,1919,"Novel, Children's literature, Künstlerroman, Speculative fiction"
The High Crusade,Poul Anderson,1960,"Science Fiction, Speculative fiction, Fiction"
Tempest-Tost,Robertson Davies,,Fiction
Leaven of Malice,Robertson Davies,,Fiction
Noble House: The Epic Novel of Modern Hong Kong,James Clavell,1981-04,"Historical fiction, Fiction, Historical novel"
Red Star,,,Science Fiction
Hawaii,James A. Michener,1959,"Children's literature, Fiction"
1632,Eric Flint,2000-02-01,"Science Fiction, Speculative fiction, Novel, Alternate history"
The Rivals,Richard Brinsley Sheridan,,
Q,,1999,
New Spring,Robert Jordan,2004-01,"Speculative fiction, Fantasy"
Asterix the Gaul,René Goscinny,1961,
The Heroic Legend of Arslan,,,Fantasy
Ruins of Adventure,Michael Breault,,
Giles Goat-Boy,John Barth,1966,"Speculative fiction, Novel, Dystopia"
Land Beyond the Magic Mirror,Gary Gygax,,
The Intuitionist,Colson Whitehead,1999-01,"Speculative fiction, Novel"
Ravenloft,Laura Hickman,,Role-playing game
The English Teacher,R. K. Narayan,1980-10-15,"Autobiographical novel, Novel"
The Giving Tree,Shel Silverstein,1964-10-07,"Picture book, Children's literature, Fiction"
Fanshawe,Nathaniel Hawthorne,1828,"Biography, Fiction, Romance novel"
Rob Roy,Walter Scott,1817,Historical novel
The House at Pooh Corner,A. A. Milne,1928,Children's literature
Queen of Angels,Greg Bear,1990,"Science Fiction, Speculative fiction, Novel"
The House Without a Key,Earl Derr Biggers,,"Mystery, Fiction, Suspense"
Behind That Curtain,Earl Derr Biggers,,"Mystery, Fiction, Suspense"
The Black Camel,Earl Derr Biggers,1929,"Mystery, Novel, Fiction, Suspense"
Charlie Chan Carries On,Earl Derr Biggers,1930,"Mystery, Novel, Fiction, Suspense"
Keeper of the Keys,Janny Wurts,1932,"Mystery, Novel, Speculative fiction, Fiction"
The Street Lawyer,John Grisham,1998,"Thriller, Mystery, Fiction, Suspense"
The Runaway Jury,John Grisham,1996,"Mystery, Novel, Fiction, Suspense"
Jesus on Mars,Philip José Farmer,,"Science Fiction, Speculative fiction"
Polgara the Sorceress,David Eddings,1997,"Speculative fiction, Fantasy, Fiction"
Ilium,Dan Simmons,2003,"Science Fiction, Speculative fiction"
Iron Council,China Miéville,2004,"Western fiction, Speculative fiction, Steampunk"
Distress,Greg Egan,1995,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Miss Lonelyhearts,Nathanael West,1933-04-08,Fiction
The Golden Ass,Apuleius,,Picaresque novel
Once Were Warriors,Alan Duff,1990,Fiction
Eye of the Needle,Ken Follett,,"Fiction, Suspense"
Raptor Red,Robert T. Bakker,1995,"Science Fiction, Novel"
Martin Chuzzlewit,Charles Dickens,1844,Novel
Song of Susannah,Stephen King,2004-06-08,"Science Fiction, Horror, Western fiction, Speculative fiction"
Perdido Street Station,China Miéville,2000,"Science Fiction, Speculative fiction, Dystopia"
"Tick, Tick... BOOM!",David Auburn,,
The Fall of Hyperion,Dan Simmons,1990-03,"Science Fiction, Speculative fiction, Fantasy, Fiction"
The Pet Goat,,1995,Children's literature
Hornet Flight,Ken Follett,,"Thriller, Young adult literature, Fiction"
Melmoth the Wanderer,,,
Skinny Dip,Carl Hiaasen,2004,"Crime Fiction, Fiction, Novel"
Dragonsong,Anne McCaffrey,1976-03,"Science Fiction, Children's literature, Speculative fiction, Young adult literature"
Postcards from the Edge,Carrie Fisher,1987,"Fiction, Novel"
The Chronoliths,Robert Charles Wilson,2001,"Science Fiction, Speculative fiction, Novel"
Black Comedy,Peter Shaffer,,
High Rise,J. G. Ballard,1975,"Science Fiction, Speculative fiction, Fiction, Novel"
The Atrocity Exhibition,J. G. Ballard,1970,"Experimental literature, Speculative fiction"
Smiley's People,John le Carré,1979-11,Spy fiction
Harry Potter and the Deathly Hallows,J. K. Rowling,2007-07-21,"Children's literature, Fantasy, Speculative fiction, Fiction"
Alphabet of Thorn,Patricia A. McKillip,2004-02,"Speculative fiction, Fantasy"
And the Ass Saw the Angel,Nick Cave,1989,"Gothic fiction, Fiction, Novel"
Super-Cannes,J. G. Ballard,,"Speculative fiction, Fiction"
Day of Al'Akbar,Allen Hammack,,
The Keep on the Borderlands,Gary Gygax,1979-12,Role-playing game
The Secret of Bone Hill,,,Role-playing game
The Open Society and Its Enemies,Karl Popper,1945,Philosophy
Music for Chameleons,Truman Capote,,Short story
The Fantasticks,Tom Jones,,
The Tale of Tsar Saltan,Aleksandr Pushkin,,
Zuleika Dobson,Max Beerbohm,1911,"Satire, Novel"
Flatterland,Ian Stewart,2001,"Popular science, Science Fiction"
To the Lighthouse,Virginia Woolf,1927-05-05,"Children's literature, Fiction, Novel"
Henderson the Rain King,Saul Bellow,1959,Fiction
Appointment in Samarra,John O'Hara,1934,Novel
Friday the Rabbi Slept Late,Harry Kemelman,1964,"Mystery, Fiction, Suspense"
The Devils,Fyodor Dostoyevsky,1872,
Timescape,Gregory Benford,1980,"Science Fiction, Novel, Speculative fiction, Fantasy"
Chasing Vermeer,Blue Balliett,2003,"Mystery, Children's literature, Young adult literature"
A Feast for Crows,George R. R. Martin,2005-10-17,"Speculative fiction, Fantasy"
Abarat,Clive Barker,2002,"Fantasy, Speculative fiction, Young adult literature"
Sophie's World,Jostein Gaarder,1991,Speculative fiction
The Commitments,Roddy Doyle,1987,
At Heaven's Gate,,,
Wonderful Life: The Burgess Shale and the Nature of History,Stephen Jay Gould,1989,"Mathematics, Non-fiction, Science"
You Shall Know Our Velocity,Dave Eggers,2002-09,Novel
The Sword of Shannara,Terry Brooks,1977,"Science Fiction, Children's literature, Speculative fiction, Fantasy"
Summer of Night,Dan Simmons,1991-01,"Speculative fiction, Horror"
The Elfstones of Shannara,Terry Brooks,1982,"High fantasy, Children's literature, Fantasy, Speculative fiction"
The Mysterious Island,Jules Verne,1874,"Science Fiction, Children's literature, Novel, Adventure novel"
The Last Chronicle of Barset,Anthony Trollope,1867,"Historical fiction, Fiction"
Emperor of America,Richard Condon,1990-01,"Satire, Fiction, Novel"
Nana,Émile Zola,1880,Novel
The Happy Return,C. S. Forester,1937,"Historical fiction, Fiction, Suspense, Historical novel"
The Wishsong of Shannara,Terry Brooks,1985-04-12,"Science Fiction, Children's literature, Fantasy, Speculative fiction"
First King of Shannara,Terry Brooks,,"Speculative fiction, Fantasy, High fantasy"
Time Stops for No Mouse,Michael Hoeye,1999,"Mystery, Speculative fiction, Children's literature, Fiction"
Barnaby Rudge,Charles Dickens,1841,"Fiction, Historical novel"
The Old Curiosity Shop,Charles Dickens,1840,"Fiction, Novel"
Ancient Shores,Jack McDevitt,,"Science Fiction, Speculative fiction"
The Big Four,Agatha Christie,,"Crime Fiction, Mystery, Fiction, Suspense"
Les amitiés particulières,Roger Peyrefitte,1943,
The Worm Ouroboros,Eric Rucker Eddison,1922,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Rising Sun,Michael Crichton,1992-01-27,"Crime Fiction, Mystery, Science Fiction, Fiction"
"Norby, the Mixed-Up Robot",Isaac Asimov,1983,"Science Fiction, Speculative fiction"
Glory Season,David Brin,1993,"Science Fiction, Speculative fiction, Children's literature, Novel"
The Road to Serfdom,Friedrich Hayek,1944-03,Economics
Nature,,,
The Killer Angels: A Novel of the Civil War,Michael Shaara,1974,"Historical fiction, Fiction, War novel, Historical novel"
Wishing Moon,,2004-06-03,"Children's literature, Fantasy"
Mother Courage and Her Children,Bertolt Brecht,,
The Lathe of Heaven,Ursula K. Le Guin,1971,"Science Fiction, Speculative fiction, Fantasy, Fiction"
The Lost World,Arthur Conan Doyle,1912,"Science Fiction, Lost World, Speculative fiction, Scientific romance"
Alexander's Bridge,Willa Cather,1912,"Fiction, Novel"
Nevada,,,
Petersburg,Andrei Bely,,Novel
Raw Spirit,Iain Banks,2003,
The Life and Loves of a She-Devil,Fay Weldon,,"Mystery, Novel, Fiction, Suspense"
The King of Torts,John Grisham,2003,"Mystery, Novel, Fiction, Suspense"
Woman at Point Zero,,1975,
Notable American Women,Ben Marcus,2002-03,"Fiction, Novel"
Lady Macbeth of the Mtsensk District,Nikolai Leskov,,
The Wings of the Dove,Henry James,,Novel
The Ambassadors,Henry James,,Novel
Tender is the Night,F. Scott Fitzgerald,,"Autobiographical novel, Roman à clef, Novel, Fiction"
The Good Soldier,Ford Madox Ford,1915-03,"Fiction, Novel"
The Golden Bowl,Henry James,1904-11-10,Novel
Go Tell It on the Mountain,James Baldwin,1953,Autobiographical novel
The Secret Agent,Joseph Conrad,1907-09,"Spy fiction, Children's literature, Fiction"
Assassin's Apprentice,Robin Hobb,1995,"Speculative fiction, Fantasy"
Royal Assassin,Robin Hobb,1996,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Assassin's Quest,Robin Hobb,1997,"Speculative fiction, Fantasy"
The Divine Invasion,Philip K. Dick,1981,"Science Fiction, Speculative fiction"
Wasp,Eric Frank Russell,1957,"Science Fiction, Speculative fiction, Fiction"
A Void,Georges Perec,1969,Novel
Amusing Ourselves to Death: Public Discourse in the Age of Show Business,Neil Postman,1985,Non-fiction
The Amazing Adventures of Kavalier & Clay,Michael Chabon,2000-09-19,"Speculative fiction, Historical fiction, Fiction"
Tik-Tok,John Sladek,1983,"Science Fiction, Speculative fiction"
Hard Times,Charles Dickens,1854,"Industrial novel, Novel"
Roderick,John Sladek,1980-11-13,"Science Fiction, Speculative fiction"
The Leopard,Giuseppe Tomasi di Lampedusa,1958,"Fiction, Novel"
The Dalkey Archive,Flann O'Brien,,"Comic novel, Speculative fiction, Fiction"
Wonder Boys,Michael Chabon,1995-03-14,"Fiction, Novel"
The Eagle's Conquest,Simon Scarrow,2001-08-02,"Historical fiction, Historical novel"
Brighton Rock,Graham Greene,,"Thriller, Crime Fiction, Speculative fiction, Fiction"
Winter Kills,Richard Condon,1974-05,"Black comedy, Comic novel, Comedy, Fiction"
Notes from Underground,Fedor Mikhaïlovitch Dostoïevski,1864,Novella
Now and Then,Joseph Heller,,Memoir
The Bear and the Dragon,Tom Clancy,2000,"Thriller, Novel"
The 158-Pound Marriage,John Irving,1974-08-12,Novel
"X-Men: God Loves, Man Kills",,,
Entertaining Mr Sloane,Joe Orton,,
"Dilvish, the Damned",Roger Zelazny,1982,"Fantasy, Speculative fiction, Short story"
Red Shift,Alan Garner,1973-09-17,"Speculative fiction, Fantasy"
Herzog,Saul Bellow,1964,Fiction
The Business,Iain Banks,1999,"Novel, Fiction, Suspense"
Halo: The Fall of Reach,Eric S. Nylund,2001-10-30,"Science Fiction, Speculative fiction"
Halo: The Flood,William C. Dietz,,"Science Fiction, Speculative fiction"
Halo: First Strike,Eric S. Nylund,,"Science Fiction, Speculative fiction"
Understanding Media: The Extensions of Man,Marshall McLuhan,1964,Non-fiction
Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,1996-10,Non-fiction
Tropic of Cancer,Henry Miller,1934,"Autobiographical novel, Erotica, Novel"
The Naked and the Dead,Norman Mailer,1948,Fiction
The Moviegoer,Walker Percy,1961,"Music, Speculative fiction, Fiction"
Death Comes for the Archbishop,Willa Cather,1927,"Historical fiction, Fiction, Novel"
Of Human Bondage,W. Somerset Maugham,1915,"Autobiographical novel, Children's literature, Künstlerroman, Fiction"
A High Wind in Jamaica,Richard Hughes,1929,"Fiction, Novel"
A House for Mr Biswas,V.S. Naipaul,1961,Fiction
A Bend in the River,V.S. Naipaul,1979,"Fiction, Novel"
Scoop,Evelyn Waugh,1938,"Children's literature, Novel, Fiction, Comedy"
The Ginger Man,J. P. Donleavy,,Fiction
Wide Sargasso Sea,Jean Rhys,1966-10,"Historical fiction, Romance novel, Parallel novel"
The Magus,John Fowles,,"Speculative fiction, Children's literature, Fiction, Novel"
Tobacco Road,Erskine Caldwell,1932,
Ragtime,E. L. Doctorow,,"Speculative fiction, Children's literature, Fiction, Historical novel"
Lord Jim,Joseph Conrad,,"Science Fiction, Children's literature, Fiction, Psychological novel"
The Journey of Ibn Fattouma,Naguib Mahfouz,,Novel
Vril,"Edward Bulwer-Lytton, 1st Baron Lytton",1870,Science Fiction
The Honourable Schoolboy,John le Carré,1977,Spy fiction
The Canary Trainer,Nicholas Meyer,1993-09-20,"Mystery, Detective fiction"
The Dark Half,Stephen King,1989-11-01,"Children's literature, Horror, Speculative fiction, Fiction"
Sandman: The Dream Hunters,Neil Gaiman,1999,Novella
The Tale of Peter Rabbit,Beatrix Potter,1902,"Picture book, Children's literature, Fantasy, Fiction"
The Chamber,Enric Tremps,1994,"Mystery, Children's literature, Fiction, Novel"
The Reality Dysfunction,Peter F. Hamilton,1996-01-26,"Science Fiction, Speculative fiction, Fantasy, Novel"
Cocaine Nights,J. G. Ballard,,"Science Fiction, Speculative fiction, Fiction"
The Crystal World,J. G. Ballard,1966,"Science Fiction, Speculative fiction, Fiction, Novel"
Concrete Island,J. G. Ballard,,"Science Fiction, Speculative fiction, Fiction"
A Burnt-Out Case,Graham Greene,1960,"Speculative fiction, Fiction, Novel"
Dune: House Harkonnen,Kevin J. Anderson,2000-10-03,"Science Fiction, Speculative fiction"
Dune: House Corrino,Kevin J. Anderson,2001-10-02,"Science Fiction, Speculative fiction"
The Summons,John Grisham,2002,"Mystery, Novel, Fiction, Suspense"
Needful Things,Stephen King,1991-10,"Speculative fiction, Horror, Fiction"
The Stingray Shuffle,Tim Dorsey,,Crime Fiction
Portrait of Lozana: The Lusty Andalusian Woman,Francisco Delicado,,Novel
La Celestina,Fernando de Rojas,1499,Novel
Infinite Jest,David Foster Wallace,1996-02-01,"Science Fiction, Postmodernism, Speculative fiction, Satire"
"Magic, Inc.",Robert A. Heinlein,1950,Science Fiction
Artemis Fowl,Eoin Colfer,2001-04,"Fantasy, Children's literature, Young adult literature"
Artemis Fowl: The Arctic Incident,Eoin Colfer,2002-05,"Speculative fiction, Fantasy, Children's literature"
Papillon,Henri Charrière,1969,Autobiographical novel
Kate Vaiden,Reynolds Price,1986-06,"Fiction, Novel"
Phaedrus,Plato,,
Hayduke Lives,Edward Abbey,,"Speculative fiction, Fiction"
When Worlds Collide,Philip Gordon Wylie,1933,"Science Fiction, Speculative fiction"
Love You Forever,Robert Munsch,1986,Fiction
Island of the Blue Dolphins,Scott O'Dell,1960-09,"Children's literature, Fiction"
The Cherry Orchard,Anton Chekhov,,
Present Laughter,Noël Coward,,
Kiln People,David Brin,2002,"Science Fiction, Speculative fiction, Fiction, Novel"
The Poisonwood Bible,Barbara Kingsolver,1998,"Fiction, Novel"
Angle of Repose,Wallace Stegner,1971,Novel
The Death of the Heart,Elizabeth Bowen,1938,
The House of Mirth,Edith Wharton,1905-10-14,"Fiction, Novel"
Bel Ami,Guy de Maupassant,1885,"Historical fiction, Fiction"
Bachelor of Arts,R. K. Narayan,1937,"Fiction, Novel"
Lilith,George MacDonald,,"Speculative fiction, Fantasy"
A Grief Observed,C. S. Lewis,1961,
The Charterhouse of Parma,Stendhal,1839,Fiction
In Search of the Castaways,Jules Verne,,"Science Fiction, Speculative fiction, Fiction, Adventure novel"
Triggerfish Twist,Tim Dorsey,2002,Crime Fiction
Florida Roadkill,Tim Dorsey,1999,"Crime Fiction, Fiction"
The Passion of New Eve,Angela Carter,1977,"Science Fiction, Speculative fiction, Magic realism, Dystopia"
Middlesex,Jeffrey Eugenides,2002-10-07,"Transgender and transsexual fiction, Fiction, Novel"
The Autobiography of Alice B. Toklas,Gertrude Stein,1933,"Autobiography, Biography"
"1982, Janine",Alasdair Gray,1984-10-30,"Speculative fiction, Fantasy, Fiction"
Firewall,Henning Mankell,2002,"Crime Fiction, Mystery, Fiction, Suspense"
The Curious Incident of the Dog in the Night-time,Mark Haddon,2003,Mystery
Ella Enchanted,Gail Carson Levine,1997,"Children's literature, Fantasy, Speculative fiction, Fiction"
The Blue Flowers,Raymond Queneau,1965,Novel
Romance of Atlantis,,,Fantasy
The Vampire Armand,Anne Rice,1998-10-10,"Children's literature, Horror, Erotica, Speculative fiction"
The Dharma Bums,Jack Kerouac,,"Roman à clef, Autobiography, Biography, Novel"
Even Cowgirls Get the Blues,Gus Van Sant,,"Speculative fiction, Fiction, Novel"
Den Haag,,2008-12-01,"Crime Fiction, Mystery, Historical fiction"
James and the Giant Peach,Roald Dahl,1961,"Children's literature, Fantasy, Speculative fiction, Fiction"
Sphere,Michael Crichton,1987-05-12,"Techno-thriller, Children's literature, Novel, Speculative fiction"
Triton,Samuel R. Delany,1976,"Science Fiction, Speculative fiction, Fiction"
Revelation Space,Alastair Reynolds,2000,"Hard science fiction, Science Fiction, Speculative fiction, Fantasy"
Chasm City,Alastair Reynolds,2001,"Hard science fiction, Science Fiction, Speculative fiction, Fantasy"
Diary,Chuck Palahniuk,2003-08-26,"Satire, Horror, Speculative fiction, Fiction"
Only You Can Save Mankind,Terry Pratchett,1992,"Science Fiction, Children's literature, Nature, Speculative fiction"
Johnny and the Dead,Terry Pratchett,1993,"Science Fiction, Children's literature, Fantasy, Speculative fiction"
Going After Cacciato,Tim O'Brien,1978-01,"War novel, Fiction"
Vice Versa,Thomas Anstey Guthrie,1882,Fantasy
Memoirs of a Geisha,Arthur Golden,1997-09-23,Historical novel
Blindness,José Saramago,1995,"Speculative fiction, Novel"
The Bat Man,Jo Nesbø,1997,Crime Fiction
The Redbreast,Jo Nesbø,2000,Crime Fiction
The Devil's Star,Jo Nesbø,2003,Crime Fiction
The Bourne Supremacy,Robert Ludlum,1986-02-11,"Thriller, Novel, Fiction, Suspense"
Brewster's Millions,George Barr McCutcheon,1902,"Comic novel, Comedy"
City,Clifford D. Simak,1952,"Science Fiction, Speculative fiction"
The Wild Duck,Henrik Ibsen,,
Hawksbill Station,Robert Silverberg,1968,"Science Fiction, Speculative fiction"
The Royal Book of Oz,Ruth Plumly Thompson,1921,"Speculative fiction, Fantasy, Children's literature"
Niebla,Miguel de Unamuno,1914,Fiction
The Other Side of Midnight,Sidney Sheldon,1973,"Thriller, Mystery, Fiction, Suspense"
Slan,A. E. van Vogt,1946,"Science Fiction, Speculative fiction, Fantasy, Fiction"
The Garden of Rama,Gentry Lee,1991-09-26,"Science Fiction, Speculative fiction"
The Water-Method Man,John Irving,1972-12,"Literary fiction, Novel"
The Night of the Triffids,Simon Clark,2001,"Science Fiction, Apocalyptic and post-apocalyptic fiction, Speculative fiction"
The Woman Warrior,Maxine Hong Kingston,1975,"Autobiography, Children's literature, Künstlerroman"
Sanditon,Jane Austen,1817,"Fiction, Romance novel, Philosophy"
Lady Susan,Jane Austen,,"Epistolary novel, Fiction, Romance novel"
Goodnight Mister Tom,Michelle Magorian,1981-03-01,"Children's literature, Fiction, Historical novel"
Gorboduc,Thomas Norton,,
If I Forget Thee Jerusalem,William Faulkner,1939,
The Misfortunes of Virtue,"Donatien Alphonse François de Sade, Marquis de Sade",1791,"Gothic fiction, Erotica"
The Godmakers,Frank Herbert,1972,"Science Fiction, Speculative fiction"
Epileptic,David Beauchard,,
Market Forces,Richard Morgan,2004,"Science Fiction, Speculative fiction, Fiction"
Orlando: A Biography,Virginia Woolf,1928-10-11,Speculative fiction
An Ideal Husband,Oscar Wilde,,
Tuesdays With Morrie,Mitch Albom,1997,"Philosophy, Biography, Inspirational, Biographical novel"
Shardik,Richard Adams,1974,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Wild Swans,Jung Chang,,"Autobiography, Biography, Fiction"
Tin Woodman,David Bischoff,1979-04-01,Science Fiction
The Magic Goes Away,Larry Niven,,Fantasy
Gods and Generals,Jeffrey Shaara,1996,"Fiction, Historical novel"
'Tis: A Memoir,Frank McCourt,2000-08-29,Memoir
Patriot Games,Tom Clancy,,"Thriller, Children's literature, Fiction"
Changing Places,David Lodge,1975,"Speculative fiction, Fiction, Campus novel"
Beneath the Wheel,Hermann Hesse,1906,"Fiction, Novel"
Small World: An Academic Romance,David Lodge,1984,Campus novel
A Lost Lady,Willa Cather,,"Reference, Fiction, Romance novel, Novel"
Sans Famille,,,
No One Writes to the Colonel,Gabriel García Márquez,1961,Novella
Young Goodman Brown,Nathaniel Hawthorne,1835,"Short story, Fiction"
The Life and Adventures of Nicholas Nickleby,Charles Dickens,1838,"Comic novel, Novel"
The Partner,John Grisham,1997,"Mystery, Children's literature, Fiction, Suspense"
Skipping Christmas,John Grisham,2002,"Novel, Fiction, Comedy"
Fevre Dream,George R. R. Martin,1982,"Fantasy, Science Fiction, Speculative fiction, Horror"
The Firm,John Grisham,,"Mystery, Children's literature, Fiction, Suspense"
A Fine Balance,Rohinton Mistry,1995,"Fiction, Historical novel"
The Night Watch,Sergey Lukyanenko,,"Fantasy, Speculative fiction, Horror"
The Cobweb,George Jewsbury,2005,"Science Fiction, Speculative fiction, Fiction"
Interface,Neal Stephenson,1994-04-01,"Thriller, Speculative fiction, Fiction, Novel"
Tipping the Velvet,Sarah Waters,1998,Fiction
Darkover Landfall,Marion Zimmer Bradley,1972,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Stormqueen!,Marion Zimmer Bradley,1978,"Science Fiction, Speculative fiction, Fantasy"
Pompeii,Robert Harris,2003,
The Leaky Establishment,David Langford,,"Science Fiction, Speculative fiction, Fiction"
Pnin,Vladimir Vladimirovich Nabokov,1957,"Fiction, Novel"
Digital Fortress,Dan Brown,1996,"Mystery, Science Fiction, Techno-thriller, Fiction"
Slow River,Nicola Griffith,1995,"Science Fiction, Speculative fiction, Fiction"
Mr. Adam,Pat Frank,,
Artemis Fowl: The Opal Deception,Eoin Colfer,2005-04-30,"Children's literature, Fantasy"
The Paper Chase,"John Jay Osborn, Jr.",,
Prague: A Novel,Arthur Phillips,2002,Historical novel
Cloudstreet,Tim Winton,1991-05,"Fiction, Novel"
The Hollow,Agatha Christie,,"Crime Fiction, Mystery, Fiction, Suspense"
The Shoes of the Fisherman,Morris West,,
Knife of Dreams,Robert Jordan,2005-10-11,"Speculative fiction, Fantasy"
The Great Explosion,Eric Frank Russell,1962,"Science Fiction, Speculative fiction, Novel"
Widowers' Houses,George Bernard Shaw,,
"Over Sea, Under Stone",Susan Cooper,,"Science Fiction, Children's literature, Speculative fiction, Young adult literature"
Dune: The Butlerian Jihad,Brian Herbert,2002-09-17,"Science Fiction, Speculative fiction"
Earth Abides,George R. Stewart,1949,"Science Fiction, Speculative fiction"
Lucifer's Hammer,Larry Niven,1977,"Science Fiction, Apocalyptic and post-apocalyptic fiction, Speculative fiction, Novel"
Dune: The Machine Crusade,Kevin J. Anderson,2003-09-16,"Science Fiction, Speculative fiction"
